Metropolitan Area (MSA),UHII Level,# ZIP Codes,# Hospitalizations,99th Temp. %ile (°C),MHT (°C) (95% CI),RR (99th vs. MHP) (95% CI),AN (Temp.  ≥ MHP) (95% CI),"Annual AR (Per 100,000 Beneficiaries) (95% CI)"
"Syracuse, NY",Low UHII,20,"64,313",26,"22.9 (21.5, 30.2)","0.999 (0.896, 1.113)","26 (-45, 97)","5.05 (-8.68, 18.72)"
"Syracuse, NY",High UHII,12,"34,802",26.1,"22.6 (22.1, 23.8)","1.074 (0.979, 1.178)","92 (47, 133)","36.75 (19.01, 53.36)"
"Tacoma-Lakewood, WA",Overall,47,"148,456",23.2,"19.1 (18.5, 20.1)","1.007 (0.938, 1.080)","54 (-15, 121)","3.76 (-1.02, 8.38)"
"Tacoma-Lakewood, WA",Low UHII,9,"27,168",23,"19.2 (17.8, 29.4)","0.983 (0.874, 1.106)","-2 (-48, 41)","-0.78 (-16.18, 13.93)"
"Tacoma-Lakewood, WA",High UHII,20,"68,079",23.1,"19.1 (18.5, 20.1)","0.978 (0.897, 1.067)","-30 (-90, 24)","-4.93 (-14.87, 3.87)"
"Tampa-St. Petersburg-Clearwater, FL",Overall,181,"1,009,564",29.7,"28.5 (28.2, 28.8)","0.961 (0.933, 0.991)","-1,717 (-1,836, -1,601)","-22.12 (-23.66, -20.63)"
"Tampa-St. Petersburg-Clearwater, FL",Low UHII,46,"172,265",29.6,"28.4 (27.9, 32.3)","0.945 (0.893, 1.001)","-389 (-454, -329)","-26.94 (-31.43, -22.74)"
"Tampa-St. Petersburg-Clearwater, FL",High UHII,42,"223,214",29.8,"28.6 (28.3, 29.0)","0.949 (0.903, 0.996)","-456 (-552, -365)","-27.59 (-33.39, -22.07)"
"Toledo, OH",Overall,33,"189,236",27.1,"23.9 (23.4, 24.8)","0.997 (0.935, 1.062)","-28 (-117, 59)","-2.34 (-9.76, 4.91)"
"Toledo, OH",Low UHII,11,"43,424",27.2,"24.2 (22.9, 31.8)","1.068 (0.955, 1.195)","89 (25, 149)","30.97 (8.90, 51.97)"
"Toledo, OH",High UHII,-,-,-,-,-,-,-
"Tucson, AZ",Overall,44,"167,322",34.4,"31.8 (31.3, 32.6)","1.018 (0.967, 1.071)","93 (21, 164)","4.84 (1.07, 8.52)"
"Tucson, AZ",Low UHII,19,"98,857",34.3,"32.0 (30.8, 38.9)","1.006 (0.939, 1.078)","14 (-67, 91)","1.34 (-6.17, 8.40)"
"Tucson, AZ",High UHII,-,-,-,-,-,-,-
"Tulsa, OK",Overall,61,"204,304",32,"28.7 (28.1, 29.8)","1.033 (0.979, 1.090)","227 (150, 300)","13.75 (9.12, 18.17)"
"Tulsa, OK",Low UHII,21,"66,779",32,"29.0 (27.5, 37.4)","1.020 (0.937, 1.110)","44 (-17, 106)","8.02 (-3.14, 19.42)"
"Tulsa, OK",High UHII,20,"58,914",32,"28.7 (28.1, 29.8)","0.998 (0.926, 1.076)","-14 (-73, 49)","-2.92 (-15.53, 10.40)"
"Virginia Beach-Norfolk-Newport News, VA-NC",Overall,79,"424,192",29.7,"26.9 (26.5, 27.8)","1.058 (1.009, 1.110)","907 (791, 1,011)","29.03 (25.34, 32.37)"
"Virginia Beach-Norfolk-Newport News, VA-NC",Low UHII,20,"87,416",29.6,"27.1 (26.0, 33.4)","1.089 (0.998, 1.188)","226 (131, 322)","32.18 (18.62, 45.75)"
"Virginia Beach-Norfolk-Newport News, VA-NC",High UHII,20,"77,795",29.7,"26.9 (26.5, 27.8)","1.058 (0.984, 1.138)","159 (92, 225)","31.68 (18.20, 44.68)"
"Warren-Troy-Farmington Hills, MI",Overall,140,"935,637",27.1,"23.7 (23.0, 24.7)","1.064 (1.024, 1.105)","2,133 (1,985, 2,271)","38.38 (35.73, 40.87)"
"Warren-Troy-Farmington Hills, MI",Low UHII,57,"235,308",27,"23.8 (22.3, 31.9)","1.060 (0.991, 1.135)","416 (325, 503)","26.53 (20.75, 32.08)"
"Warren-Troy-Farmington Hills, MI",High UHII,34,"334,172",27.3,"23.9 (23.2, 24.9)","1.080 (1.027, 1.135)","751 (626, 863)","42.32 (35.28, 48.67)"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Overall,230,"764,944",29.1,"25.9 (25.5, 26.8)","1.099 (1.059, 1.141)","2,662 (2,568, 2,746)","41.54 (40.07, 42.86)"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Low UHII,43,"124,413",29.1,"26.2 (25.0, 33.0)","1.120 (1.034, 1.213)","488 (414, 565)","47.50 (40.31, 54.99)"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",High UHII,71,"247,708",29.2,"26.0 (25.5, 26.9)","1.076 (1.018, 1.138)","534 (442, 627)","29.36 (24.32, 34.47)"
"West Palm Beach-Boca Raton-Delray Beach, FL",Overall,64,"566,099",30.3,"29.1 (28.9, 29.5)","1.013 (0.974, 1.053)","263 (106, 408)","6.07 (2.46, 9.43)"
"West Palm Beach-Boca Raton-Delray Beach, FL",Low UHII,12,"97,268",30.2,"29.1 (28.5, 32.7)","1.020 (0.940, 1.107)","90 (-8, 186)","11.00 (-0.93, 22.87)"
"West Palm Beach-Boca Raton-Delray Beach, FL",High UHII,5,"26,243",30.3,"29.1 (28.9, 29.5)","0.972 (0.888, 1.064)","-26 (-82, 25)","-12.10 (-37.41, 11.40)"
"Wichita, KS",Overall,35,"133,627",31.8,"27.8 (27.2, 29.3)","1.025 (0.953, 1.102)","24 (-57, 99)","2.35 (-5.67, 9.90)"
"Wichita, KS",Low UHII,15,"37,923",31.8,"28.3 (26.7, 35.9)","1.046 (0.929, 1.178)","25 (-27, 75)","8.21 (-8.61, 24.17)"
"Wichita, KS",High UHII,-,-,-,-,-,-,-
"Wilmington, DE-MD-NJ",Overall,38,"203,326",29.1,"25.7 (25.2, 26.6)","1.030 (0.965, 1.100)","173 (89, 268)","12.57 (6.45, 19.47)"
"Wilmington, DE-MD-NJ",Low UHII,20,"62,294",29.1,"26.0 (24.7, 33.3)","1.032 (0.927, 1.148)","49 (-15, 118)","12.47 (-3.89, 30.11)"
"Wilmington, DE-MD-NJ",High UHII,6,"25,626",29.1,"25.6 (25.1, 26.6)","1.032 (0.933, 1.142)","26 (-27, 75)","17.29 (-17.4, 48.95)"
"Winston-Salem, NC",Overall,35,"144,744",28.2,"25.5 (25.1, 26.3)","1.033 (0.969, 1.102)","212 (132, 290)","16.89 (10.51, 23.04)"
"Winston-Salem, NC",Low UHII,17,"66,311",28.1,"25.7 (24.7, 31.9)","1.091 (1.001, 1.190)","209 (130, 277)","35.34 (22.02, 46.75)"
"Winston-Salem, NC",High UHII,6,"1,200",28.2,"25.5 (25.1, 26.3)","1.039 (0.920, 1.173)","2 (-1, 4)","17.87 (-14.14, 48.77)"
"Worcester, MA-CT",Overall,81,"215,427",26.5,"23.0 (22.5, 24.0)","1.035 (0.973, 1.101)","136 (65, 204)","7.40 (3.53, 11.12)"
"Worcester, MA-CT",Low UHII,46,"74,571",26.5,"23.3 (21.9, 31.2)","1.085 (0.984, 1.197)","174 (130, 211)","25.28 (18.92, 30.65)"
"Worcester, MA-CT",High UHII,10,"41,499",26.4,"22.9 (22.4, 23.9)","1.096 (1.005, 1.197)","143 (87, 195)","47.16 (28.77, 64.21)"
"Youngstown-Warren-Boardman, OH-PA",Overall,41,"238,793",26.2,"23.2 (22.7, 24.1)","0.979 (0.916, 1.046)","-207 (-316, -99)","-14.01 (-21.41, -6.71)"
"Youngstown-Warren-Boardman, OH-PA",Low UHII,16,"70,029",26.2,"23.5 (22.2, 29.6)","0.975 (0.874, 1.089)","-32 (-104, 38)","-7.15 (-23.10, 8.36)"
"Youngstown-Warren-Boardman, OH-PA",High UHII,1,"1,013",26.2,"23.2 (22.7, 24.1)","1.041 (0.909, 1.191)","2 (-3, 6)","26.06 (-50.60, 101.08)"
